airline_sentiment,text
negative,continues win ive never missed flight nice little quiet gate change made possible sheesh
positive,keeping aa air crew chief cousin alex espinosa dfw httptcohxlnvzknp
negative,lost cat missed flight kept crated hr wouldbe hr trip youll never touch pet
negative,dont worry wont steal money
negative,continually getting put hold painfully inexperienced people calling platinum desk
negative,pretty lame response two paged single spaced letter httptcoaceboelpa
negative,happens u mattersits response matter way drop ball aa
negative,looking help usairways award travel booked wife two boy seat assigned
positive,_ done truck biggie
negative,put bad mood havent angry since spagnuolo coached ram
negative,cancelled flighted flight left help find hotel stay slept airport night_
negative,flight vega dfw cancelled flightled sunday monday whammie today
positive,airport snow removal method keep good work folk cessnas become httptcooumclrxdn
neutral,bird could fly south america example argentina
negative,flight jacksonville fl dallas showing cancelled flightled going rebooked another flight
positive,great thanks
positive,awesome thanks
negative,flight dallas jacksonville fl cancelled flightled one notified whats going
negative,extremely upset baggage handler decide go luggage take belonging
negative,flight delayed hour gf meal despite early request attendant seat fell leg badservice
negative,always rely fly usair american employee rude unhappy
negative,robocalls another cancelled flightation dont accept change wont let connect agent wow
negative,said aa provide inflight wifi route china based federal law united
negative,right two hour late flight seems due poor communication sounded like annoying onplane staff
negative,im sure happened usairways status merger took place
negative,u help rebook passenger via twitterdm hold hour thanks
negative,id like apologize gate agent flight aa aware zone nine precious gem
neutral,key point confusion whether make change even though initial flight booking problem u airway metal
neutral,origindestinationdates going u airway connecting flight aa direct flight award saver level
neutral,old fly ordpvg get upgraded
neutral,know little cold weather humor
negative,none lax flight dfw cancelled flightled landing fine completely arbitrary
negative,doesnt really answer question maybe provide detail give clarification
negative,delayed bag friend lisa pafe got bag day costa rica issue update system
positive,thanks
positive,aww thanks aadfw gma amso understand btw aa airline im able trvlove guy
positive,awesome photo thanks sharing
positive,new plane gogo easy power laptop iphone missing good boatstyle swivel cup holder dietcoke happyflier
negative,rampers gate b dfw waiting marshaled
negative,cancelled flight flight there way rebook website app wait minute hold fail cc
neutral,thought plane retired md
positive,got phone customer service minute get issue resoled guy awesome
neutral,thanks info number call speak person going take hour type
positive,kax premium hoping flight better food tv know work service tnx
positive,sound like date
negative,im frustrated attitude toward execplat member thenewamerican
negative,another day another grievance airline customer service
negative,youve misunderstood would day flight change gate agent said
neutral,flight im way
negative,car accident way airport missed flight rno dca trying resched line hr wait
positive,thanks much
positive,hope enjoy winterweather brought warm coat glove maria yup new beanie httptcoaneqxzrbp
negative,weather sun
negative,fail flight rdu sitting waiting flight attendant logistics good
negative,idea wait time refund told day phone well past
negative,happy purchase upgrade avail next flight
negative,going reported police due sexual assult sad didnt care
